"Conexiones","Generar UUID","Ctrl+Alt+Mayús+U","En ventanas","org.jkiss.dbeaver.core.generate.uuid"
"Editor SQL","Abrir Declaración","F4","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"Editar","Conmutar Quick Diff","Ctrl+Mayús+Q","Edición de texto","org.eclipse.quickdiff.toggle"
"Resultados","Alternar paneles de resultados","F7","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Edición de texto","Final del texto","Ctrl+Fin","Edición de texto","org.eclipse.ui.edit.text.goto.textEnd"
"Editar","Arreglos rápidos","Ctrl+1","En diálogos y ventanas","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Ventana","Mostrar menú del sistema","Alt+-","En ventanas","org.eclipse.ui.window.showSystemMenu"
"Editar","Búsqueda incremental inversa","Ctrl+Mayús+J","Edición de texto","org.eclipse.ui.edit.findIncrementalReverse"
"Edición de texto","Bajar líneas","Alt+↓","Edición de texto","org.eclipse.ui.edit.text.moveLineDown"
"Editar","Borrar","Borrar","En ventanas","org.eclipse.ui.edit.delete"
"Editar","Cortar","Mayús+Borrar","En diálogos y ventanas","org.eclipse.ui.edit.cut"
"Editar","Seleccionar todo","Ctrl+A","En diálogos y ventanas","org.eclipse.ui.edit.selectAll"
"Resultados","Primer registro","Ctrl+Alt+Mayús+←","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.first"
"Editar","Asistencia de contenido","Ctrl+Espacio","Contexto de Editor SQL","org.eclipse.ui.edit.text.contentAssist.proposals"
"Editor SQL","Cerrar pestaña","Ctrl+Mayús+\","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.close.tab"
"Edición de texto","Seleccionar hasta el final de línea","Mayús+Fin","Edición de texto","org.eclipse.ui.edit.text.select.lineEnd"
"Editar","Activar/desactivar selección de bloques","Alt+Mayús+A","Edición de texto","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Oracle","Compile","Ctrl+F9","En ventanas","org.jkiss.dbeaver.ext.oracle.code.compile"
"Ventana","Ir a un editor","Ctrl+Mayús+E","En ventanas","org.eclipse.ui.window.switchToEditor"
"Utilidades","Copiar especial","Ctrl+Mayús+C","En ventanas","org.jkiss.dbeaver.core.edit.copy.special"
"Resultados","Activar resultados/panel","Ctrl+Mayús+7","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.grid.activatePreview"
"Editar","Búsqueda incremental","Ctrl+J","Edición de texto","org.eclipse.ui.edit.findIncremental"
"Editar","Buscar siguiente","Ctrl+K","En ventanas","org.eclipse.ui.edit.findNext"
"Navegar","Página anterior","Alt+Mayús+F7","En ventanas","org.eclipse.ui.part.previousPage"
"Resultados","Referencias","Ctrl+1","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Ventana","Editor anterior","Ctrl+Mayús+F6","En ventanas","org.eclipse.ui.window.previousEditor"
"Resultados","Duplicar registro","Ctrl+Alt+Insertar","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.copy"
"Navegar","Ir a línea","Ctrl+L","Edición de texto","org.eclipse.ui.edit.text.goto.line"
"Editor SQL","Importar script SQL","Ctrl+Alt+Mayús+O","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.open.file"
"archivo","Guardar","Ctrl+S","En ventanas","org.eclipse.ui.file.save"
"Conexiones","Asignar conexión activa","Ctrl+9","En ventanas","org.jkiss.dbeaver.ui.tools.select.connection"
"archivo","Cerrar","Ctrl+F4","En ventanas","org.eclipse.ui.file.close"
"archivo","Renovar","F5","En ventanas","org.eclipse.ui.file.refresh"
"Vistas","Mostrar vista (Buscar)","Alt+Mayús+Q,S","En ventanas","org.eclipse.ui.views.showView"
"Editar","Deshacer","Ctrl+Z","En diálogos y ventanas","org.eclipse.ui.edit.undo"
"Resultados","Activar editor de filtro/datos","Ctrl+Alt+Mayús+T","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.focus.filter"
"Editar","Conclusión de palabra","Ctrl+Mayús+Espacio","Contexto de Editor SQL","org.eclipse.ui.edit.text.hippieCompletion"
"Buscar","Abrir diálogo Buscar","Ctrl+H","En ventanas","org.eclipse.search.ui.openSearchDialog"
"Buscar","Buscar texto en el espacio de trabajo","Ctrl+Alt+G","En ventanas","org.eclipse.search.ui.performTextSearchWorkspace"
"Edición de texto","Subir líneas","Alt+↑","Edición de texto","org.eclipse.ui.edit.text.moveLineUp"
"Resultados","Copy from row below","Ctrl+Alt+D","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
"Editar","Información contextual","Ctrl+Mayús+Espacio","En diálogos y ventanas","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Editor SQL","Visualizar plan de ejecución","Ctrl+Mayús+E","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"Ventana","Cambiar rápido de editor","Ctrl+E","En ventanas","org.eclipse.ui.window.openEditorDropDown"
